Unnamed: 0,Eepi,Kepi,Kstroma,eyelid-pressure,thickness_central 1d,thickness_central 4d,thickness_midperi 1d,thickness_midperi 4d,power_eye 1d,power_eye 4d,R_n 1d,R_n 4d,error
333,0.0009626296985251275,4.136148685818755e-06,0.0021475399971535767,0.00015299054099209055,-0.004550057151474142,-0.005280067659489331,0.0008377345546488196,0.0008548220424839173,-1.5384349936881137,-1.5584442248036154,7.872737422446682,7.876413722159165,234.15396717102166
334,0.0010807855367545027,1.8645803876830463e-06,0.003285869086453677,0.0002445006674964871,-0.005000043421857531,-0.006500063325101731,0.0008731919586941334,0.00133408496050922,-1.6525225165829482,-1.8062954606630797,7.893744866991927,7.922237797037713,198.60751987449214
335,0.0013414715263295651,1.050160256469403e-06,0.0008569970414066496,0.00022392556861019683,-0.004200034039597886,-0.005860057284755395,0.0005685628540341714,0.001057019960925859,-1.513532624463572,-1.9317030986951949,7.8681668960547055,7.945627585334153,225.2534551465547
336,0.0007766426159564487,3.004068577639957e-06,0.0041673872573045005,0.00017301996558965959,-0.005090066987947277,-0.006440094862906337,0.0009270266420965192,0.0012933864738466083,-1.67071418423145,-1.7685969736243479,7.897104947869177,7.915233545218936,199.1390341180449
337,0.0011272746533652774,2.932612636666319e-06,0.0007187470557013131,0.00021107015932304529,-0.005080048006289105,-0.006000059423319805,0.000958538742208033,0.0012264191624053802,-1.7471923446119817,-1.7938779257272657,7.911262146998066,7.919929292184707,207.88417754672946
338,0.0011022124215368085,1.6682678260546537e-06,0.004916867133147642,0.000205466374627549,-0.00453004145394742,-0.006000062127277682,0.0006893667208979978,0.0011056147948847184,-1.56507698987226,-1.8035198715613774,7.877633119121126,7.921721679222111,217.47954977896669
339,0.0008168826687482817,1.122030748178734e-06,0.003216935682315597,0.00016288818745525334,-0.004240026368027283,,0.0005370495876346817,,-1.5159522571820645,,7.868610757371205,,
340,0.0007538780443430603,9.449638621184114e-07,0.0016037524418961887,0.00023394698186854116,-0.004950028248994702,,0.0007392533987939792,,-1.708190308629618,,7.904035976815978,,
341,0.0007868432211852594,1.9381342033318567e-06,0.0014455420349630064,0.000232972226353802,-0.005490052673205667,,0.0010386421376742047,,-1.8035927607965405,,7.921735232037381,,
342,0.0011980260231522096,5.163060477214147e-06,0.0038131098119506064,0.00018384763277425167,-0.003980045401275362,,0.0007970364222702128,,-1.2372803525844418,,7.817817856283988,,
343,0.00103126092750493,7.92428125858978e-07,0.0007973622446716749,0.00022794695567921383,-0.004370027440392915,,0.0005738041955660952,,-1.5713683235269968,,7.878790094779792,,
344,0.0008291884565086356,1.5248679059730528e-06,0.005146734062373554,0.00014682892866820738,-0.004200033316208426,-0.005910060147004376,0.0005593727328092324,0.0010609653441629452,-1.502996657033279,-1.9311964341730175,7.866234744858385,7.94553280942725,224.3672299018037
345,0.0011518511989444585,1.1657086158516943e-06,0.0007575401192276503,0.00017262486058241403,-0.0040100320319281235,-0.005660054643456244,0.0005239160876933172,0.0009716747396892461,-1.472396891411769,-1.9479016615409819,7.860628545988093,7.948658856384102,232.91431303498058
346,0.0013318836892590006,4.9467106162600755e-06,0.0010077405321655484,0.0002425366187495583,-0.0045700488396835034,-0.00504005320051111,0.0010517788600704903,0.0009349234760998165,-1.4031302506856065,-1.3712433265032686,7.847967638763453,7.842152884574129,235.20530759194907
347,0.0010720142303170244,3.965351523116646e-06,0.002638784847379097,0.00024297573620654853,-0.005160054616343487,-0.006000063931273739,0.0011817695627942618,0.0011279351774471993,-1.5347939407948417,-1.5007017422994267,7.872068820156722,7.865814014981736,207.0454827432312
348,0.0014958681651853385,1.252186990646788e-06,0.0023409940805912714,0.00020132699613793716,-0.003920032789755994,-0.00525004764388546,0.0005199673190491513,0.0008114622678200775,-1.4130648549600693,-1.742409832851557,7.849781030119205,7.9103753481173555,244.84006978947588
349,0.0007957223146519678,3.264397164539092e-06,0.0009608783645744386,0.00016042473002097493,-0.005150057163640476,-0.006320077335183118,0.0009270266420963735,0.0013419837986996391,-1.787546646178015,-1.896240694413592,7.9187527817007375,7.938999495600902,199.8608858109417
350,0.000996078593301743,5.567042558709374e-06,0.002041760139863189,0.0002231648542786374,-0.004970050871502617,-0.005620056648703582,0.0012395586107870893,0.001091195977738442,-1.4432645723898787,-1.3943133763372586,7.855298619077567,7.846358971399045,215.78129779609338
351,0.0012869393920790912,1.8155415662558842e-06,0.0029374457779678532,0.0002193422126615733,-0.004510042052796259,-0.005730057994407803,0.0007208770542012355,0.0009848086946569398,-1.5506677276311578,-1.7162525510528894,7.874984537087849,7.905528640271975,224.58263164224323
352,0.0012785083395128304,3.3020197581478125e-06,0.0018613065788681638,0.0001911355278643169,-0.004390048133182146,-0.005060056080465905,0.0007970347598447169,0.000769471568679049,-1.4800894940059521,-1.499672786956019,7.862037159617482,7.865625389795394,242.05889592923103
353,0.001403774237046235,1.356277808959306e-06,0.002239540680503257,0.00018754608835984182,-0.003940038613956573,-0.00526005770737361,0.000510780839078892,0.0008009840623570547,-1.4193269908834978,-1.7436295435073035,7.850924506125902,7.91060149449675,244.74435619258026
354,0.0013300471397643585,2.008877865897218e-06,0.00534228039540616,0.00019924921933711,-0.004290042361399245,-0.005330055436730902,0.0006630964604520742,0.0008101699807206292,-1.4871309619436488,-1.6294333873855464,7.86332698481432,7.889484318825025,238.20435923360307
355,0.0011655542011176914,2.770775020522902e-06,0.004520151583684506,0.0001353424470453525,-0.0039100479979798375,,0.0005685628540348653,,-1.4001190238552397,,7.847418156482029,,
356,0.0014884960171935553,3.41546735317396e-06,0.0008076350215930838,0.00024836006223876784,-0.004680053670071044,-0.005250061011647482,0.0009585392766793405,0.0009441178475199513,-1.536697902502162,-1.5230986415785992,7.872418428254879,7.869921994039185,230.683238148647
357,0.0011356977218867715,2.4031887570376183e-06,0.0014953288164196213,0.000241691370760742,-0.005110046574086778,-0.0062900609812305275,0.0009808619147118058,0.001284203614033079,-1.686447243615632,-1.75184592030989,7.900013220608009,7.912125228748215,201.21376853516705
358,0.0009507935761868195,3.4498109286485907e-06,0.003151206544185145,0.00017638947381055527,-0.004800052361476452,-0.005750064829613322,0.0008955184240516875,0.0009939998112709833,-1.5865897982630415,-1.6192182659250847,7.88159072882283,7.887600828910774,219.77312509217614
359,0.001438589062892382,5.767144230577372e-06,0.0011549158593124411,0.00020338427357011492,-0.0037600513407376746,,0.0007602869523102643,,-1.1853409813282383,,7.8084233964760905,,
360,0.0008219755108691839,4.555244610391858e-06,0.002326897474247128,0.00020291698998040089,-0.005470062201833034,-0.006440074597986588,0.0012579272615931628,0.0013643076074679045,-1.660000219481553,-1.6280100576565175,7.895125685381679,7.889221827757976,191.8448896817113
361,0.001373153105520668,3.0123157536185486e-06,0.0016965130736275493,0.00014635627594578686,-0.0038400455375617593,,0.0005593755876293488,,-1.3804714287543973,,7.843834793066992,,
362,0.0014991654320236298,1.0440727393198343e-06,0.0018024609016718946,0.00024685371813887373,-0.0041800331989307465,-0.005740052617322869,0.0005738021850058839,0.0010031864528015494,-1.4851866176202506,-1.8430884939097112,7.862970786059492,7.929085782131092,228.6366364280988
363,0.0012656288805755337,3.5378989159804877e-06,0.003660443726721896,0.00022276205536182793,-0.004540046645431416,-0.005250053896397773,0.0008994666953453384,0.0008009853384940216,-1.4282558645720442,-1.4164093385133967,7.8525555089703385,7.850391696703745,235.38468362521783
364,0.0009204854943307152,1.947030925621645e-06,0.00540354634899269,0.0002361152506347305,-0.00517005054304831,-0.006870078904679756,0.0009493513135232778,0.0015087280846226847,-1.685731541256331,-1.8543133712994262,7.8998808757622045,7.9311773338374545,187.1718734685991
